Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,170.1,"$518,900 ",7.73%,172.2,"$640,300 ",8.71%,177.3,"$500,900 ",8.71%,164.9,"$361,200 ",6.66%,156.5,"$314,300 ",4.26%
Halton Region,178.1,"$584,200 ",6.71%,175.4,"$650,400 ",6.76%,178.8,"$464,100 ",6.81%,166.5,"$329,600 ",2.21%,-,-,-
Burlington,184.9,"$532,900 ",8.00%,180.8,"$617,900 ",7.30%,185,"$441,000 ",9.73%,176.5,"$354,400 ",2.20%,-,-,-
Halton Hills,160.1,"$466,200 ",3.36%,159.7,"$510,900 ",3.43%,171.4,"$422,100 ",4.83%,155.5,"$280,400 ",0.26%,-,-,-
Milton,168.3,"$472,000 ",5.12%,157,"$546,900 ",4.39%,171.1,"$427,200 ",5.10%,-,-,-,-,-,-
Oakville,187.5,"$691,700 ",7.51%,186.7,"$773,800 ",7.73%,189.7,"$513,500 ",8.52%,166.5,"$367,800 ",2.27%,-,-,-
Peel Region,161.9,"$442,900 ",7.08%,164.1,"$555,500 ",7.54%,166.2,"$424,100 ",8.13%,164.9,"$341,200 ",5.50%,140.9,"$242,500 ",4.29%
Brampton,156.4,"$399,000 ",7.94%,156.7,"$458,000 ",7.92%,158.4,"$373,100 ",8.27%,149.9,"$278,500 ",6.24%,130.1,"$203,600 ",6.81%
Caledon,150.5,"$536,200 ",3.58%,150.9,"$553,900 ",3.07%,165.3,"$408,700 ",6.65%,-,-,-,-,-,-
Mississauga,167.3,"$467,600 ",6.83%,175.3,"$653,200 ",7.88%,175.4,"$479,400 ",8.20%,169.9,"$364,900 ",5.53%,142.9,"$250,200 ",3.93%
City of Toronto,173.1,"$567,300 ",6.98%,180.4,"$782,100 ",8.87%,186.6,"$618,800 ",8.61%,169.9,"$410,900 ",6.52%,159.8,"$330,000 ",3.97%
York Region,182.8,"$627,300 ",9.59%,184,"$722,900 ",10.05%,187.4,"$542,900 ",9.98%,166.3,"$423,900 ",8.06%,156,"$338,900 ",4.49%
Aurora,172.6,"$555,800 ",6.87%,171.2,"$636,000 ",6.34%,178,"$460,700 ",8.14%,143.9,"$364,500 ",1.62%,153.1,"$318,100 ",1.86%
E. Gwillimbury,161.4,"$521,800 ",8.54%,161.6,"$530,800 ",8.09%,171.5,"$363,100 ",7.79%,-,-,-,-,-,-
Georgina,160.9,"$333,900 ",8.42%,166.4,"$342,800 ",8.26%,173.9,"$342,700 ",9.99%,-,-,-,-,-,-
King,168.5,"$714,300 ",6.44%,170.1,"$717,700 ",6.58%,-,-,-,-,-,-,-,-,-
Markham,190.3,"$655,500 ",11.09%,195.6,"$804,400 ",11.39%,195.6,"$582,500 ",12.41%,171.9,"$427,100 ",9.98%,158.2,"$365,900 ",3.06%
Newmarket,165.7,"$488,700 ",8.16%,163,"$548,700 ",8.59%,171,"$403,000 ",8.43%,171.2,"$345,700 ",6.14%,157.2,"$264,700 ",3.15%
Richmond Hill,191.4,"$693,000 ",10.44%,203.3,"$861,300 ",12.07%,196.7,"$595,900 ",9.52%,154.3,"$436,300 ",6.27%,151,"$314,500 ",2.30%
Vaughan,179.6,"$649,200 ",8.06%,172.5,"$717,900 ",7.81%,183.8,"$559,500 ",7.55%,176.7,"$482,800 ",9.28%,158.1,"$350,800 ",8.73%
Whitchurch-Stouffville,186,"$701,300 ",13.55%,185.5,"$711,800 ",12.70%,166.4,"$457,100 ",14.68%,-,-,-,-,-,-
Durham Region,153.7,"$361,700 ",9.71%,152.5,"$397,600 ",9.16%,159.3,"$319,100 ",10.40%,146.7,"$241,100 ",12.67%,149.9,"$268,200 ",13.22%
Ajax,161.6,"$399,300 ",9.78%,161,"$431,200 ",9.30%,168.2,"$361,700 ",9.86%,153.2,"$280,000 ",14.67%,144,"$244,500 ",11.63%
Brock,132.5,"$251,200 ",6.43%,133.2,"$253,100 ",6.47%,150.6,"$240,000 ",11.97%,-,-,-,-,-,-
Clarington,148.2,"$313,600 ",8.41%,143.5,"$344,900 ",7.65%,152.1,"$290,400 ",9.98%,163.3,"$292,300 ",9.30%,150.9,"$213,600 ",12.61%
Oshawa,146.6,"$280,500 ",9.24%,145.1,"$308,900 ",8.61%,153.2,"$256,600 ",10.53%,128.8,"$172,300 ",11.23%,146.1,"$174,800 ",9.11%
Pickering,161.5,"$436,900 ",10.47%,161.2,"$504,300 ",8.85%,165.9,"$386,700 ",10.97%,158.5,"$285,900 ",13.78%,155.4,"$304,300 ",15.37%
Scugog,154.7,"$401,500 ",10.34%,158.9,"$409,200 ",9.97%,150.1,"$314,100 ",18.47%,-,-,-,-,-,-
Uxbridge,148.3,"$453,500 ",9.37%,148.8,"$460,900 ",8.53%,145.2,"$356,300 ",12.12%,-,-,-,-,-,-
Whitby,155.5,"$405,700 ",10.68%,156.6,"$449,900 ",10.91%,158.3,"$349,200 ",10.24%,147.6,"$270,600 ",12.41%,147,"$286,700 ",12.64%
Dufferin County,154,"$352,900 ",4.76%,159.5,"$363,400 ",5.35%,151.5,"$284,000 ",3.63%,-,-,-,-,-,-
Orangeville,154,"$352,900 ",4.76%,159.5,"$363,400 ",5.35%,151.5,"$284,000 ",3.63%,-,-,-,-,-,-
Simcoe County,151.3,"$321,500 ",6.18%,147.5,"$325,300 ",6.04%,156.8,"$301,100 ",6.31%,-,-,-,-,-,-
Adjala-Tosorontio,137,"$431,500 ",3.55%,136.9,"$431,700 ",3.56%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbury,163.3,"$405,900 ",8.72%,148.4,"$454,600 ",9.52%,167.6,"$348,400 ",7.92%,-,-,-,-,-,-
Essa,144.9,"$328,600 ",1.05%,142.3,"$352,000 ",1.07%,148.3,"$252,600 ",1.71%,-,-,-,-,-,-
Innisfil,153.7,"$284,800 ",7.71%,153.7,"$285,300 ",6.96%,170.1,"$264,600 ",15.24%,-,-,-,-,-,-
New Tecumseth,135.8,"$313,700 ",1.04%,132.3,"$340,800 ",0.92%,142.7,"$273,000 ",1.64%,-,-,-,-,-,-
