Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,145.6,"$447,400 ",7.30%,144.7,"$544,800 ",8.39%,149.2,"$426,900 ",8.51%,142,"$323,500 ",6.13%,143.7,"$303,300 ",4.06%,2012,02
Halton Region,152.3,"$501,100 ",7.10%,151.5,"$577,600 ",9.15%,151.3,"$386,600 ",6.32%,150.1,"$305,300 ",8.30%,-,-,-,2012,02
Burlington,156.7,"$431,700 ",10.90%,157.2,"$507,100 ",14.33%,151.6,"$362,400 ",9.22%,157.3,"$315,500 ",8.63%,-,-,-,2012,02
Halton Hills,142.8,"$426,300 ",4.08%,144.0,"$464,600 ",6.19%,147.9,"$363,500 ",6.33%,146.8,"$264,600 ",8.02%,-,-,-,2012,02
Milton,143.9,"$407,500 ",5.89%,138.3,"$486,700 ",5.49%,146,"$362,600 ",5.80%,-,-,-,-,-,-,2012,02
Oakville,161.2,"$611,100 ",7.97%,160.3,"$680,100 ",11.01%,160.4,"$436,600 ",5.74%,149.5,"$328,500 ",8.10%,-,-,-,2012,02
Peel Region,140.9,"$390,300 ",7.07%,140.9,"$483,600 ",6.50%,142.6,"$368,500 ",6.90%,144,"$303,500 ",7.62%,132.5,"$234,500 ",6.94%,2012,02
Brampton,134.9,"$365,400 ",6.98%,134.9,"$414,500 ",6.72%,137.5,"$332,000 ",6.92%,127.9,"$235,400 ",4.58%,113.7,"$186,000 ",5.67%,2012,02
Caledon,137.3,"$489,700 ",4.17%,137.2,"$503,000 ",4.57%,142.8,"$354,600 ",5.31%,-,-,-,-,-,-,2012,02
Mississauga,145.6,"$401,200 ",7.37%,148.6,"$560,000 ",6.83%,148,"$408,400 ",7.01%,148.6,"$323,300 ",8.31%,135.4,"$241,900 ",7.21%,2012,02
City of Toronto,150.5,"$482,600 ",6.29%,151.6,"$660,000 ",8.36%,158.5,"$529,300 ",9.31%,146.5,"$370,200 ",5.02%,146.7,"$320,100 ",3.31%,2012,02
York Region,152.0,"$520,600 ",10.71%,152.7,"$606,300 ",11.79%,153.7,"$446,100 ",11.05%,141.6,"$369,200 ",7.27%,143.8,"$302,600 ",6.60%,2012,02
Aurora,143.0,"$458,300 ",11.46%,141.6,"$530,800 ",15.12%,147.3,"$381,500 ",11.09%,129,"$356,700 ",6.88%,135.9,"$302,900 ",5.68%,2012,02
E. Gwillimbury,126.5,"$412,700 ",0.88%,126.5,"$415,900 ",-0.16%,133.4,"$279,600 ",4.30%,-,-,-,-,-,-,2012,02
Georgina,141.9,"$296,900 ",14.07%,147.8,"$310,300 ",17.02%,139.1,"$274,000 ",9.87%,-,-,-,-,-,-,2012,02
King,142.2,"$591,800 ",2.82%,143.0,"$592,700 ",2.73%,-,-,-,-,-,-,-,-,-,2012,02
Markham,158.6,"$539,500 ",12.32%,161.3,"$661,400 ",13.99%,158.1,"$467,300 ",12.05%,150.9,"$388,000 ",13.03%,151,"$328,100 ",6.41%,2012,02
Newmarket,137.7,"$400,200 ",8.43%,133.8,"$444,000 ",5.94%,141.2,"$349,600 ",9.88%,142,"$289,500 ",10.59%,147.1,"$248,100 ",4.10%,2012,02
Richmond Hill,157.7,"$570,400 ",11.53%,166.1,"$701,600 ",13.77%,161.5,"$477,900 ",13.02%,125,"$357,800 ",-6.09%,144.2,"$277,700 ",8.58%,2012,02
Vaughan,150.0,"$537,800 ",9.73%,147.0,"$622,300 ",9.95%,151.6,"$467,600 ",9.54%,145.2,"$396,300 ",7.64%,135.3,"$303,800 ",4.72%,2012,02
Whitchurch-Stouffville,148.6,"$513,400 ",7.92%,147.7,"$530,300 ",12.58%,138.5,"$380,500 ",6.87%,-,-,-,-,-,-,2012,02
Durham Region,124.6,"$302,500 ",5.15%,124.1,"$332,300 ",5.35%,128.3,"$264,400 ",6.38%,117.4,"$195,400 ",1.29%,115.4,"$207,700 ",-1.20%,2012,02
Ajax,131.1,"$340,500 ",5.30%,132.5,"$378,400 ",6.00%,138.4,"$300,700 ",6.63%,117.4,"$211,100 ",-6.60%,112.2,"$189,200 ",-2.18%,2012,02
Brock,123.6,"$241,400 ",4.30%,124.2,"$243,200 ",3.24%,127.4,"$203,000 ",13.35%,-,-,-,-,-,-,2012,02
Clarington,121.8,"$253,900 ",5.73%,119.0,"$286,800 ",5.31%,122.9,"$234,300 ",6.04%,140.2,"$206,600 ",16.83%,115.9,"$164,000 ",-1.28%,2012,02
Oshawa,118.9,"$239,500 ",5.13%,117.5,"$261,900 ",3.80%,123.7,"$207,100 ",7.38%,109.5,"$151,400 ",9.17%,127.6,"$151,900 ",-8.60%,2012,02
Pickering,127.8,"$350,900 ",5.10%,130.6,"$411,100 ",7.84%,131.6,"$307,800 ",6.39%,122.6,"$224,300 ",-3.62%,111.8,"$223,300 ",-0.71%,2012,02
Scugog,116.5,"$303,900 ",-1.52%,119.8,"$309,100 ",-0.42%,115.7,"$242,200 ",7.03%,-,-,-,-,-,-,2012,02
Uxbridge,126.1,"$379,300 ",4.56%,127.8,"$389,600 ",2.65%,122.3,"$302,900 ",5.07%,-,-,-,-,-,-,2012,02
Whitby,126.0,"$331,700 ",5.79%,124.4,"$362,200 ",6.87%,125.4,"$277,100 ",4.50%,114.4,"$208,900 ",-2.22%,120.3,"$245,700 ",0.50%,2012,02
Dufferin County,132.1,"$303,100 ",4.84%,140.0,"$319,300 ",5.42%,135.7,"$254,800 ",4.63%,-,-,-,-,-,-,2012,02
Orangeville,132.1,"$303,100 ",4.84%,140.0,"$319,300 ",5.42%,135.7,"$254,800 ",4.63%,-,-,-,-,-,-,2012,02
Simcoe County,129.0,"$280,400 ",7.77%,126.9,"$291,900 ",8.28%,133.2,"$250,600 ",6.65%,-,-,-,-,-,-,2012,02
Adjala-Tosorontio,126.8,"$405,000 ",13.21%,126.3,"$407,700 ",13.27%,-,-,-,-,-,-,-,-,-,2012,02
Bradford West Gwillimbury,136.6,"$342,500 ",8.50%,125.4,"$385,700 ",11.17%,141.7,"$294,600 ",8.25%,-,-,-,-,-,-,2012,02
Essa,129.7,"$277,200 ",6.84%,129.3,"$307,400 ",7.84%,131.3,"$223,700 ",4.46%,-,-,-,-,-,-,2012,02
Innisfil,129.8,"$244,900 ",8.71%,130.2,"$247,300 ",8.59%,134.7,"$209,600 ",11.05%,-,-,-,-,-,-,2012,02
New Tecumseth,120.8,"$281,200 ",4.86%,119.2,"$306,300 ",5.39%,124.7,"$239,000 ",3.66%,-,-,-,-,-,-,2012,02
