Region,Unnamed: 1,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change
TREB Total,,156.0,"$475,900",3.38%,156.3,"$581,200",3.78%,161.3,"$455,700",4.00%,152.6,"$334,200",3.04%,149.7,"$300,600",1.84%
Halton Region,,164.4,"$539,300",4.91%,161.7,"$599,600",4.86%,165.1,"$428,500",5.16%,157.4,"$311,600",-0.63%,-,-,-
Burlington,,170.3,"$490,800",3.53%,168.7,"$576,600",4.07%,166.2,"$396,200",3.36%,166.9,"$335,200",0.48%,-,-,-
Halton Hills,,152.3,"$443,400",0.99%,151.6,"$485,000",0.73%,160.9,"$396,300",3.81%,151.7,"$273,500",-1.94%,-,-,-
Milton,,156.4,"$438,700",4.20%,145.5,"$506,900",2.11%,159.2,"$397,500",4.39%,-,-,-,-,-,-
Oakville,,172.6,"$636,700",6.61%,171.8,"$712,000",7.38%,174.8,"$473,100",6.98%,156.7,"$346,100",-0.44%,-,-,-
Peel Region,,150.9,"$412,800",3.29%,151.3,"$512,200",2.86%,152.8,"$389,900",2.96%,155.3,"$321,400",3.53%,140.2,"$241,300",3.70%
Brampton,,143.7,"$366,600",2.86%,144.6,"$422,600",2.19%,145.7,"$343,200",2.53%,138.8,"$257,900",5.31%,122.7,"$192,000",5.87%
Caledon,,144.2,"$513,800",1.91%,144.9,"$531,900",1.40%,154.4,"$381,700",3.42%,-,-,-,-,-,-
Mississauga,,156.9,"$438,600",3.77%,160.5,"$598,000",3.82%,160.7,"$439,200",3.54%,160.3,"$344,200",3.15%,143.3,"$250,900",3.69%
City of Toronto,,159.5,"$522,700",2.57%,162.7,"$705,300",2.97%,170.2,"$564,400",3.84%,156.3,"$378,000",2.09%,152.3,"$314,500",1.67%
York Region,,164.0,"$562,800",3.86%,165.2,"$649,000",4.36%,167.5,"$485,200",4.43%,153.9,"$392,300",3.92%,148.3,"$322,200",-0.20%
Aurora,,157.2,"$506,200",5.72%,156.0,"$579,600",6.41%,160.4,"$415,200",5.04%,143.2,"$362,700",4.83%,147.0,"$305,400",2.51%
E. Gwillimbury,,146.1,"$472,300",7.58%,146.5,"$481,200",7.80%,154.3,"$326,700",7.23%,-,-,-,-,-,-
Georgina,,156.4,"$324,600",11.55%,159.7,"$329,000",10.75%,157.8,"$311,000",12.47%,-,-,-,-,-,-
King,,152.2,"$645,200",1.00%,153.4,"$647,300",1.32%,-,-,-,-,-,-,-,-,-
Markham,,168.0,"$578,700",2.31%,171.7,"$706,100",2.88%,170.7,"$508,400",3.33%,157.9,"$392,300",4.43%,151.4,"$350,100",-2.82%
Newmarket,,149.4,"$440,600",4.92%,146.6,"$493,500",5.32%,155.2,"$365,800",4.72%,160.4,"$323,900",4.97%,149.9,"$252,400",0.13%
Richmond Hill,,171.3,"$620,200",3.19%,179.8,"$761,800",3.87%,176.9,"$535,900",4.43%,143.7,"$406,300",0.70%,147.3,"$306,800",-0.74%
Vaughan,,163.2,"$589,900",5.09%,160.2,"$666,700",5.05%,167.5,"$509,900",6.08%,158.0,"$431,700",5.26%,145.7,"$323,300",3.48%
Whitchurch-Stouffville,,162.2,"$611,500",4.38%,162.3,"$622,800",5.18%,146.1,"$401,300",1.39%,-,-,-,-,-,-
Durham Region,,137.8,"$324,200",5.43%,137.6,"$358,800",5.52%,142.8,"$286,000",6.41%,128.0,"$210,400",5.70%,129.4,"$231,500",3.77%
Ajax,,143.2,"$353,900",5.84%,144.6,"$387,300",5.93%,150.1,"$322,800",5.70%,128.6,"$235,000",7.26%,126.0,"$213,900",3.87%
Brock,,127.0,"$240,800",2.75%,127.4,"$242,100",2.74%,134.3,"$214,000",0.22%,-,-,-,-,-,-
Clarington,,135.5,"$286,700",7.71%,132.8,"$319,200",8.23%,138.4,"$264,300",7.45%,149.1,"$266,900",3.61%,127.6,"$180,600",3.07%
Oshawa,,133.6,"$255,700",7.74%,132.5,"$282,100",7.81%,138.5,"$231,900",8.63%,115.3,"$154,300",3.59%,133.6,"$159,900",-0.15%
Pickering,,143.5,"$388,200",6.06%,144.8,"$453,000",5.08%,149.1,"$347,500",5.82%,134.8,"$243,200",5.89%,131.2,"$256,900",7.89%
Scugog,,138.0,"$358,100",1.40%,141.8,"$365,100",1.50%,125.4,"$262,400",2.45%,-,-,-,-,-,-
Uxbridge,,136.7,"$418,000",5.15%,137.9,"$427,100",4.95%,132.6,"$325,400",3.92%,-,-,-,-,-,-
Whitby,,136.6,"$356,400",2.02%,137.4,"$394,700",2.77%,139.9,"$308,600",4.72%,133.6,"$244,900",8.88%,129.6,"$252,800",-1.14%
Dufferin County,,146.1,"$334,800",3.54%,149.8,"$341,300",2.96%,146.6,"$274,800",2.52%,-,-,-,-,-,-
Orangeville,,146.1,"$334,800",3.54%,149.8,"$341,300",2.96%,146.6,"$274,800",2.52%,-,-,-,-,-,-
Simcoe County,,143.3,"$304,500",5.99%,140.5,"$309,900",6.12%,146.5,"$281,300",3.75%,-,-,-,-,-,-
Adjala-Tosorontio,,126.7,"$399,000",-1.09%,126.7,"$399,500",-0.94%,-,-,-,-,-,-,-,-,-
Bradford West Gwillimbur,,154.3,"$383,500",3.00%,140.0,"$428,800",3.09%,159.5,"$331,600",2.84%,-,-,-,-,-,-
Essa,,140.6,"$318,800",4.46%,137.4,"$339,900",3.08%,142.8,"$243,300",4.54%,-,-,-,-,-,-
Innisfil,,145.6,"$269,800",8.25%,146.7,"$272,300",8.67%,148.2,"$230,500",4.00%,-,-,-,-,-,-
New Tecumseth,,129.8,"$299,800",3.84%,127.2,"$327,600",3.33%,134.5,"$257,300",4.26%,-,-,-,-,-,-
