Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,284.6,"863,700",8.17%,272.3,"1,005,600",6.70%,284.6,"799,800",7.93%,296.8,"652,000",10.21%,295.2,"591,700",9.66%,2020,06
Halton Region,296.4,"961,300",9.86%,293.8,"1,083,600",8.94%,307.7,"787,200",9.93%,317.8,"611,100",11.70%,272.6,"555,400",11.31%,2020,06
Burlington,305.9,"848,400",9.96%,301.2,"1,019,700",8.03%,320.6,"769,100",7.05%,328.1,"615,200",12.02%,281.0,"553,700",12.13%,2020,06
Halton Hills,283.0,"842,000",11.24%,282.8,"920,200",10.95%,297.4,"673,900",12.40%,278.0,"475,300",12.64%,255.9,"554,000",11.89%,2020,06
Milton,289.5,"857,700",12.25%,283.2,"1,012,600",11.67%,303.2,"732,800",12.92%,291.9,"502,400",12.44%,287.6,"550,500",13.01%,2020,06
Oakville,294.2,"1,080,800",8.72%,296.9,"1,255,100",8.75%,307.8,"859,500",8.92%,309.0,"696,000",9.96%,258.8,"530,100",9.75%,2020,06
Peel Region,282.6,"801,500",9.20%,269.3,"953,700",7.42%,280.2,"716,000",8.86%,291.5,"615,800",11.22%,303.3,"520,000",12.54%,2020,06
Brampton,281.6,"717,800",9.32%,271.1,"799,000",8.22%,283.8,"662,800",9.53%,300.0,"539,200",13.77%,281.3,"419,900",12.79%,2020,06
Caledon,235.8,"865,900",7.33%,236.4,"898,600",7.95%,270.8,"669,000",6.66%,-,-,-,244.0,"593,200",4.50%,2020,06
Mississauga,287.4,"848,900",9.28%,273.5,"1,092,400",6.34%,275.3,"759,200",7.96%,288.2,"637,000",10.25%,307.2,"539,700",12.57%,2020,06
City of Toronto,293.6,"952,000",7.66%,273.9,"1,201,900",5.88%,291.0,"969,900",6.20%,300.2,"715,300",9.24%,302.1,"622,200",8.67%,2020,06
York Region,274.5,"926,900",7.94%,275.5,"1,047,700",6.99%,276.1,"798,800",7.77%,257.9,"669,300",7.86%,255.3,"569,600",11.19%,2020,06
Aurora,274.2,"904,900",9.94%,272.4,"1,023,400",8.92%,283.8,"731,800",12.04%,262.7,"718,900",12.07%,241.9,"554,700",10.00%,2020,06
East Gwillimbury,241.0,"823,400",4.51%,244.6,"871,800",4.22%,253.5,"530,300",4.84%,-,-,-,-,-,-,2020,06
Georgina,261.2,"497,200",8.61%,267.4,"503,600",8.30%,265.0,"522,300",9.78%,-,-,-,-,-,-,2020,06
King,234.0,"979,000",2.36%,233.9,"973,000",1.92%,238.8,"559,300",6.75%,-,-,-,247.4,"676,700",5.37%,2020,06
Markham,285.1,"988,100",8.73%,298.5,"1,228,000",7.30%,285.6,"854,200",7.53%,243.8,"651,000",4.14%,261.1,"624,400",14.12%,2020,06
Newmarket,255.1,"752,300",11.11%,256.9,"865,900",10.88%,257.2,"605,800",11.83%,241.3,"501,000",7.87%,263.3,"469,400",10.40%,2020,06
Richmond Hill,289.0,"1,040,000",7.72%,307.0,"1,304,700",7.83%,285.3,"867,100",7.01%,254.2,"644,400",7.58%,256.8,"537,800",10.83%,2020,06
Vaughan,268.9,"972,400",6.37%,257.4,"1,069,900",5.06%,271.8,"823,300",5.88%,300.3,"848,300",10.81%,247.8,"571,800",8.16%,2020,06
Whitchurch-Stouffville,274.4,"946,700",5.66%,270.5,"970,400",4.32%,251.6,"691,100",7.98%,236.7,"424,900",14.02%,239.3,"617,600",10.58%,2020,06
Durham Region,263.1,"613,100",8.05%,254.1,"659,100",7.08%,271.5,"542,200",9.26%,294.6,"458,300",10.38%,275.3,"467,200",11.01%,2020,06
Ajax,264.8,"652,500",7.47%,260.2,"698,000",6.90%,271.3,"585,400",8.61%,275.9,"507,100",6.94%,264.2,"428,300",10.31%,2020,06
Brock,224.8,"393,200",9.44%,226.3,"396,200",9.59%,600.7,"338,800",7.67%,-,-,-,-,-,-,2020,06
Clarington,260.2,"549,400",8.69%,250.9,"604,300",8.10%,259.4,"495,500",10.76%,296.3,"464,200",6.74%,249.5,"369,400",9.29%,2020,06
Oshawa,270.6,"516,000",8.54%,257.5,"549,500",7.38%,288.9,"483,500",9.64%,311.8,"388,300",12.44%,266.6,"369,600",10.53%,2020,06
Pickering,270.1,"721,300",7.87%,255.7,"796,600",6.14%,272.7,"636,300",7.49%,286.2,"490,100",7.55%,316.7,"590,800",13.47%,2020,06
Scugog,234.1,"600,800",5.50%,241.5,"614,400",5.09%,222.3,"465,300",3.49%,-,-,-,-,-,-,2020,06
Uxbridge,231.5,"707,600",3.03%,229.9,"710,000",2.91%,235.1,"576,900",3.39%,-,-,-,-,-,-,2020,06
Whitby,260.7,"677,000",8.26%,256.9,"738,900",7.58%,266.5,"587,100",9.76%,276.2,"464,100",12.51%,247.6,"448,600",6.82%,2020,06
Dufferin County,284.9,"653,000",9.28%,297.3,"677,500",9.06%,281.1,"526,800",10.89%,-,-,-,-,-,-,2020,06
Orangeville,284.9,"653,000",9.28%,297.3,"677,500",9.06%,281.1,"526,800",10.89%,-,-,-,-,-,-,2020,06
Simcoe County,269.9,"591,300",13.40%,256.8,"578,900",7.72%,278.1,"515,400",6.47%,-,-,-,-,-,-,2020,06
Adjala-Tosorontio,247.5,"744,800",7.19%,247.8,"747,500",7.32%,-,-,-,-,-,-,-,-,-,2020,06
Bradford West Gwillimbury,283.1,"689,800",17.03%,265.3,"725,700",9.76%,298.0,"619,200",12.20%,-,-,-,-,-,-,2020,06
Essa,279.4,"541,600",10.39%,279.0,"562,900",5.68%,272.2,"422,700",1.11%,-,-,-,-,-,-,2020,06
Innisfil,276.8,"533,800",12.43%,253.3,"487,700",0.60%,274.2,"419,300",6.03%,-,-,-,-,-,-,2020,06
Barrie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020,06
New Tecumseth,244.5,"581,000",5.89%,239.3,"606,900",6.78%,261.3,"473,700",7.31%,-,-,-,-,-,-,2020,06
