Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,163.1,"$497,600 ",7.37%,164.0,"$609,800 ",7.89%,169.7,"$479,400 ",7.95%,158.8,"$347,800 ",5.80%,153.2,"$307,700 ",5.15%,2014,03
Halton Region,170.4,"$559,000 ",5.97%,167.7,"$621,900 ",5.60%,170.6,"$442,800 ",6.29%,165.2,"$327,000 ",2.74%,-,-,-,2014,03
Burlington,178.8,"$515,300 ",4.75%,182.1,"$622,400 ",6.80%,167,"$398,100 ",2.08%,173.5,"$348,400 ",2.42%,-,-,-,2014,03
Halton Hills,154.4,"$449,600 ",1.91%,154.0,"$492,700 ",2.46%,167.1,"$411,500 ",6.30%,155.1,"$279,600 ",-0.13%,-,-,-,2014,03
Milton,164.3,"$460,800 ",7.60%,151.3,"$527,100 ",5.07%,167.1,"$417,200 ",7.60%,-,-,-,-,-,-,2014,03
Oakville,177.3,"$654,100 ",5.72%,177.0,"$733,600 ",6.05%,177.4,"$480,200 ",5.22%,166.3,"$367,400 ",3.68%,-,-,-,2014,03
Peel Region,156.0,"$426,700 ",5.76%,156.8,"$530,800 ",5.38%,158.5,"$404,400 ",5.74%,160.8,"$332,700 ",5.24%,142.1,"$244,500 ",6.44%,2014,03
Brampton,149.5,"$381,400 ",5.65%,149.6,"$437,200 ",4.84%,151.1,"$355,900 ",5.22%,145,"$269,400 ",5.00%,125.6,"$196,600 ",6.53%,2014,03
Caledon,143.7,"$512,000 ",1.77%,143.9,"$528,200 ",1.34%,160.1,"$395,800 ",5.61%,-,-,-,-,-,-,2014,03
Mississauga,162.1,"$453,100 ",6.36%,167.6,"$624,500 ",6.62%,166.9,"$456,100 ",6.31%,165.7,"$355,800 ",5.34%,145.1,"$254,100 ",6.61%,2014,03
City of Toronto,167.1,"$547,600 ",7.67%,173.0,"$750,000 ",9.84%,180.7,"$599,300 ",9.18%,163.2,"$394,700 ",6.74%,155.8,"$321,700 ",4.63%,2014,03
York Region,172.8,"$593,000 ",8.47%,173.1,"$680,000 ",7.92%,177.5,"$514,200 ",9.03%,157.4,"$401,200 ",3.48%,152.7,"$331,700 ",6.04%,2014,03
Aurora,165.6,"$533,200 ",8.16%,166.2,"$617,400 ",9.63%,169,"$437,400 ",8.33%,135.9,"$344,200 ",-4.03%,147,"$305,400 ",1.87%,2014,03
E. Gwillimbury,150.8,"$487,500 ",10.88%,150.7,"$495,000 ",11.14%,163.7,"$346,600 ",11.97%,-,-,-,-,-,-,2014,03
Georgina,149.0,"$309,200 ",6.50%,153.2,"$315,600 ",7.13%,161.9,"$319,100 ",10.36%,-,-,-,-,-,-,2014,03
King,158.5,"$671,900 ",3.66%,159.9,"$674,700 ",3.56%,-,-,-,-,-,-,-,-,-,2014,03
Markham,177.4,"$611,100 ",8.17%,181.3,"$745,600 ",8.11%,181,"$539,000 ",9.30%,163.9,"$407,200 ",5.00%,156.9,"$362,800 ",5.66%,2014,03
Newmarket,157.8,"$465,400 ",8.60%,156.2,"$525,800 ",9.23%,163.6,"$385,600 ",7.70%,151.6,"$306,100 ",-3.50%,146.3,"$246,400 ",-0.81%,2014,03
