Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
Richmond Hill,181.4,"$656,800 ",8.43%,190.4,"$806,700 ",8.55%,187.7,"$568,600 ",8.37%,151.8,"$429,200 ",5.56%,149.8,"$312,000 ",4.10%,2014,03
Vaughan,172.5,"$623,500 ",9.11%,165.4,"$688,300 ",6.23%,178.5,"$543,400 ",9.98%,165.4,"$451,900 ",7.40%,150.9,"$334,900 ",8.95%,2014,03
Whitchurch-Stouffville,169.7,"$639,800 ",7.88%,170.2,"$653,100 ",8.13%,153,"$420,300 ",7.67%,-,-,-,-,-,-,2014,03
Durham Region,145.3,"$341,900 ",8.27%,144.5,"$376,800 ",8.16%,150.3,"$301,000 ",8.52%,136,"$223,500 ",8.02%,140.1,"$250,600 ",8.35%,2014,03
Ajax,152.6,"$377,100 ",8.61%,152.5,"$408,400 ",7.47%,158.3,"$340,400 ",7.61%,140.6,"$256,900 ",8.99%,136.9,"$232,500 ",8.65%,2014,03
Brock,127.0,"$240,800 ",5.05%,127.5,"$242,300 ",5.37%,140.6,"$224,100 ",4.07%,-,-,-,-,-,-,2014,03
Clarington,140.3,"$296,900 ",8.51%,135.9,"$326,600 ",7.35%,144.1,"$275,100 ",8.92%,155.5,"$278,400 ",10.75%,139.6,"$197,600 ",9.32%,2014,03
Oshawa,140.8,"$269,500 ",8.89%,140.2,"$298,500 ",9.36%,146.4,"$245,200 ",8.85%,119.7,"$160,200 ",6.97%,141.2,"$169,000 ",4.98%,2014,03
Pickering,152.4,"$412,300 ",8.62%,153.7,"$480,800 ",8.85%,155.7,"$362,900 ",8.12%,146,"$263,400 ",7.43%,144,"$282,000 ",10.94%,2014,03
Scugog,141.0,"$365,900 ",4.75%,145.2,"$373,900 ",4.99%,135.2,"$283,000 ",10.10%,-,-,-,-,-,-,2014,03
Uxbridge,138.3,"$422,900 ",7.63%,139.0,"$430,500 ",7.50%,135.5,"$332,500 ",7.28%,-,-,-,-,-,-,2014,03
Whitby,145.1,"$378,600 ",7.80%,145.7,"$418,600 ",8.41%,148.4,"$327,400 ",9.04%,139.1,"$255,000 ",9.36%,136.5,"$266,300 ",3.80%,2014,03
Dufferin County,150.0,"$343,800 ",6.99%,154.0,"$350,900 ",7.32%,148.2,"$277,800 ",4.37%,-,-,-,-,-,-,2014,03
Orangeville,150.0,"$343,800 ",6.99%,154.0,"$350,900 ",7.32%,148.2,"$277,800 ",4.37%,-,-,-,-,-,-,2014,03
Simcoe County,146.0,"$310,300 ",5.80%,142.0,"$313,200 ",5.26%,152,"$291,900 ",6.07%,-,-,-,-,-,-,2014,03
Adjala-Tosorontio,131.3,"$413,500 ",7.53%,131.3,"$414,000 ",7.53%,-,-,-,-,-,-,-,-,-,2014,03
Bradford West Gwillimbury,160.8,"$399,700 ",8.14%,145.4,"$445,400 ",8.51%,166,"$345,100 ",8.36%,-,-,-,-,-,-,2014,03
Essa,143.5,"$325,400 ",6.22%,141.3,"$349,500 ",6.96%,145,"$247,000 ",4.02%,-,-,-,-,-,-,2014,03
Innisfil,144.7,"$268,100 ",3.36%,145.2,"$269,500 ",3.27%,155.9,"$242,500 ",4.56%,-,-,-,-,-,-,2014,03
New Tecumseth,134.1,"$309,700 ",6.09%,131.2,"$337,900 ",6.23%,139.9,"$267,600 ",5.82%,-,-,-,-,-,-,2014,03
