Region,ComIndex,Composite,Composite Change,SFDIndex,SingleFamilyDetached,SingleFamilyDetached Change,SFAIndex,SingleFamilyAttached,SingleFamilyAttached Change,THIndex,TownHouse,TownHouse Change,ApaIndex,Apartment,Apartment Change,year,month
TREB Total,164.8,"$502,700 ",7.01%,166.0,"$617,300 ",7.58%,171.4,"$484,200 ",7.60%,160.4,"$351,300 ",6.08%,154.3,"$309,900 ",4.61%,2014,04
Halton Region,173.7,"$569,800 ",6.50%,170.9,"$633,700 ",5.95%,174.8,"$453,700 ",7.37%,165.6,"$327,800 ",4.41%,-,-,-,2014,04
Burlington,180.0,"$518,800 ",4.96%,177.7,"$607,300 ",4.16%,177.3,"$422,600 ",7.26%,174.6,"$350,600 ",4.36%,-,-,-,2014,04
Halton Hills,159.1,"$463,200 ",3.92%,159.1,"$509,000 ",4.05%,170.2,"$419,200 ",6.71%,155.3,"$280,000 ",1.44%,-,-,-,2014,04
Milton,167.3,"$469,200 ",8.28%,157.1,"$547,300 ",7.53%,170,"$424,400 ",8.07%,-,-,-,-,-,-,2014,04
Oakville,180.6,"$666,300 ",5.80%,179.7,"$744,800 ",5.64%,182.1,"$492,900 ",6.12%,166.6,"$368,000 ",5.44%,-,-,-,2014,04
Peel Region,156.9,"$429,200 ",5.16%,157.9,"$534,500 ",5.13%,159.5,"$407,000 ",5.28%,162.2,"$335,600 ",4.17%,141.3,"$243,200 ",4.43%,2014,04
Brampton,149.8,"$382,100 ",4.98%,149.8,"$437,800 ",4.10%,151.4,"$356,600 ",4.70%,146,"$271,200 ",3.91%,125.3,"$196,100 ",7.37%,2014,04
Caledon,145.5,"$518,400 ",2.25%,146.0,"$535,900 ",2.38%,161.7,"$399,800 ",4.32%,-,-,-,-,-,-,2014,04
Mississauga,163.4,"$456,700 ",5.62%,169.7,"$632,300 ",6.66%,168.8,"$461,300 ",6.16%,167.3,"$359,300 ",4.37%,144.2,"$252,500 ",4.12%,2014,04
City of Toronto,169.0,"$553,900 ",7.37%,175.2,"$759,500 ",9.30%,182.5,"$605,200 ",8.76%,164.9,"$398,800 ",7.50%,157.4,"$325,000 ",4.45%,2014,04
York Region,175.1,"$600,900 ",8.35%,175.7,"$690,300 ",7.79%,179.6,"$520,300 ",8.85%,161.2,"$410,900 ",6.61%,153.7,"$333,900 ",5.13%,2014,04
Aurora,167.2,"$538,400 ",8.22%,166.9,"$620,000 ",8.73%,172.6,"$446,700 ",9.31%,137.1,"$347,300 ",-3.11%,147.3,"$306,100 ",2.94%,2014,04
E. Gwillimbury,154.2,"$498,500 ",8.67%,154.6,"$507,800 ",8.57%,165.1,"$349,600 ",9.99%,-,-,-,-,-,-,2014,04
Georgina,149.1,"$309,400 ",1.98%,155.0,"$319,300 ",3.54%,161.5,"$318,300 ",7.74%,-,-,-,-,-,-,2014,04
King,162.2,"$687,600 ",6.22%,163.8,"$691,200 ",6.36%,-,-,-,-,-,-,-,-,-,2014,04
Markham,180.0,"$620,100 ",8.37%,183.6,"$755,000 ",8.06%,183.4,"$546,200 ",9.30%,168,"$417,400 ",8.88%,159.6,"$369,100 ",5.14%,2014,04
Newmarket,160.1,"$472,100 ",9.21%,158.2,"$532,600 ",9.56%,165.7,"$390,500 ",8.37%,154.5,"$311,900 ",-1.97%,147.3,"$248,100 ",0.41%,2014,04
Richmond Hill,183.9,"$665,900 ",8.05%,193.7,"$820,700 ",8.21%,190.5,"$577,100 ",8.55%,158.2,"$447,300 ",8.65%,150.2,"$312,900 ",3.73%,2014,04
Vaughan,174.6,"$631,100 ",8.92%,167.9,"$698,700 ",6.20%,179.6,"$546,700 ",8.78%,167.7,"$458,200 ",11.65%,150.5,"$334,000 ",6.44%,2014,04
Whitchurch-Stouffville,172.2,"$649,300 ",7.96%,173.0,"$663,900 ",8.53%,154.4,"$424,100 ",7.07%,-,-,-,-,-,-,2014,04
Durham Region,146.3,"$344,200 ",7.73%,145.6,"$379,700 ",7.37%,151.4,"$303,200 ",7.68%,137,"$225,200 ",9.08%,140.1,"$250,600 ",9.97%,2014,04
Ajax,153.0,"$378,100 ",7.97%,152.5,"$408,400 ",6.27%,159.5,"$343,000 ",7.55%,139.9,"$255,700 ",7.86%,135.6,"$230,200 ",9.62%,2014,04
Brock,129.3,"$245,100 ",2.86%,129.9,"$246,900 ",3.10%,138.5,"$220,700 ",3.28%,-,-,-,-,-,-,2014,04
Clarington,141.4,"$299,200 ",5.76%,137.5,"$330,500 ",4.64%,144.7,"$276,300 ",5.16%,159.3,"$285,200 ",14.11%,139.1,"$196,900 ",11.28%,2014,04
Oshawa,141.0,"$269,800 ",8.05%,140.4,"$298,900 ",8.17%,145.9,"$244,300 ",7.36%,122.2,"$163,500 ",11.39%,140.4,"$168,000 ",7.34%,2014,04
Pickering,154.0,"$416,600 ",9.84%,156.0,"$488,000 ",10.87%,159.4,"$371,500 ",10.39%,145.4,"$262,300 ",6.21%,144.3,"$282,500 ",12.30%,2014,04
Scugog,139.6,"$362,300 ",2.72%,143.6,"$369,800 ",2.94%,135,"$282,500 ",7.40%,-,-,-,-,-,-,2014,04
Uxbridge,142.0,"$434,200 ",7.17%,142.1,"$440,100 ",6.84%,139.1,"$341,300 ",6.51%,-,-,-,-,-,-,2014,04
Whitby,147.0,"$383,500 ",7.77%,148.0,"$425,200 ",8.35%,149.7,"$330,300 ",8.01%,139.9,"$256,500 ",9.04%,138,"$269,200 ",6.07%,2014,04
Dufferin County,151.3,"$346,800 ",6.18%,155.9,"$355,200 ",6.93%,148.6,"$278,500 ",3.19%,-,-,-,-,-,-,2014,04
Orangeville,151.3,"$346,800 ",6.18%,155.9,"$355,200 ",6.93%,148.6,"$278,500 ",3.19%,-,-,-,-,-,-,2014,04
Simcoe County,147.9,"$314,300 ",6.10%,143.7,"$316,900 ",5.66%,153.2,"$294,200 ",5.15%,-,-,-,-,-,-,2014,04
Adjala-Tosorontio,134.6,"$423,900 ",6.83%,134.5,"$424,100 ",6.75%,-,-,-,-,-,-,-,-,-,2014,04
Bradford West Gwillimbury,163.1,"$405,400 ",8.16%,147.4,"$451,500 ",8.46%,167.9,"$349,100 ",7.28%,-,-,-,-,-,-,2014,04
Essa,145.6,"$330,200 ",4.90%,143.3,"$354,500 ",5.52%,144.6,"$246,300 ",1.19%,-,-,-,-,-,-,2014,04
Innisfil,146.3,"$271,100 ",4.95%,146.7,"$272,300 ",4.64%,157.9,"$245,600 ",7.63%,-,-,-,-,-,-,2014,04
New Tecumseth,135.9,"$313,900 ",4.78%,133.0,"$342,600 ",4.81%,141.1,"$269,900 ",4.44%,-,-,-,-,-,-,2014,04
